පොලිසියේ,polisiye
පැරැණි,pereni
පවත්වනු,pawathwanu
තථාගතයන්,thathagathayan
කොතෙක්,kothek
කථාවක්,kathawak
එලී,elee
සේරම,serama
විහාරාධිපති,wiharadhipathi
රූපවාහිනී,rupawahinee
යුක්තය,yukthaya
නිර්මාණයක්,nirmanayak
දුරින්,durin
දුම්,dum
තරුණයන්,tharunayan
ගම්වල,gamwala
කීයේය,keeyeya
කජු,kaju
ඔහේ,ohe
ආරච්චි,arachchi
සියවස,siyawasa
ශ්‍රමය,shramaya
විප්ලවය,wiplawaya
යනාදිය,yanadiya
යන්ඩ,yanda
මිථ්‍යා,mithya
මනාප,manapa
ගැනීමත්,geneemath
ග,ga
ක්ද,kda
ආපු,apu
අනුකම්පා,anukampa
අඩංගුවට,adanguwata
ළමුන්,lamun
හැකිද,hekida
යථා,yatha
බාධාවක්,badhawak
පෙරවරු,perawaru
තත්වයක්,thathwayak
හිමියන්ට,himiyanta
හිටියේ,hitiye
හවුල්,hawul
වාහනය,wahanaya
වංශ,wansha
රුගෙන,rugena
මොහොතකට,mohothakata
මෘදු,mdu
නඩත්තු,nadaththu
තාක්ෂණ,thakshana
කිලෝ,kilo
එංගලන්තයේ,engalanthaye
ඇහුවා,ehuwa
විදුහලේ,widuhale
වැතිර,wethira
මතකය,mathakaya
පාරක්,parak
ප්‍රාන්ත,prantha
නිදානය,nidanaya
නවකතාව,nawakathawa
ආනාපාන,anapana
අපනයන,apanayana
සැහැල්ලු,sehellu
වීර,weera
විණි,wini
පිළිතුරක්,pilithurak
පාඨමාලා,patamala
නොසලකා,nosalaka
ධන,dhana
ඉස්කෝලෙ,iskole
අරගලය,aragalaya
සිත්තම්,siththam
සම්‍යක්,samyak
රැස්වීම්,resweem
දඩ,dada
ජාතියක්,jathiyak
කරත්,karath
ඉල්ලුම,illuma
ඉගැන්වීම්,igenweem
ඉගැන්වීම,igenweema
ඇවිල්ල,ewilla
සිතීම,sitheema
වගෙයි,wageyi
ලද්දක්,laddak
මඟුල්,mangul
ප්‍රතිචාර,prathichara
ගැසීම,geseema
අනිවාර්ය,aniwarya
සීමිත,seemitha
මුතු,muthu
බද්ධ,baddha
පැවතුම්,pewathum
පක්‍ෂයේ,pakshaye
නැග,nega
කෙබඳු,kebandu
සා,sa
වටේ,wate
මන්ත්‍රීවරු,manthreewaru
පළාත්වල,palathwala
නොවිය,nowiya
නිමිත්තෙන්,nimiththen
දේශය,deshaya
කරදරයක්,karadarayak
ආනන්දය,anandaya
හැඳින්වේ,hendinwe
විවර,wiwara
වස්තුවක්,wasthuwak
වසරකට,wasarakata
මිනිහ,miniha
පරමාර්ථය,paramarthaya
තරුණියන්,tharuniyan
කණු,kanu
සොරකම්,sorakam
බලන්නට,balannata
පැමිණිය,peminiya
දේශයේ,deshaye
තරමින්,tharamin
ජගත්,jagath
කුඩු,kudu
හඳුනාගත,handunagatha
සංයුක්ත,sanyuktha
වෙන්ට,wenta
යෙදුණු,yedunu
යුරෝපයේ,yuropaye
ගෞතමයන්,gauthamayan
ගිහිල්ල,gihilla
ගණයේ,ganaye
කැඳවාගෙන,kendawagena
කාන්තාවක්,kanthawak
ඒවායින්,ewayin
සමාජයක,samajayaka
සමයෙහි,samayehi
වීර්යය,weeryaya
විමසීම,wimaseema
වත්කම්,wathkam
ලොවට,lowata
බවටත්,bawatath
ප්‍රදේශවාසීහු,pradeshawaseehu
පළමුවෙන්,palamuwen
නිලධාරියා,niladhariya
දෛනික,dainika
ජනිත,janitha
ගොඩනැගිල්ලේ,godanegille
කම්කරුවන්,kamkaruwan
හරස්,haras
ස්ථානවල,sthanawala
සමාජයෙහි,samajayehi
සම්බන්ධයක්,sambandhayak
සංරක්ෂණය,sanrakshanaya
ශ්‍රම,shrama
වාර්තාවක්,warthawak
මහණහු,mahanahu
පිළිවෙළක්,piliwelak
පරිත්‍යාග,parithyaga
නිදි,nidi
දුකුලා,dukula
දුකට,dukata
දර්ශනයක්,darshanayak
එකවර,ekawara
ඇසින්,esin
අරක්කු,arakku
අයෙකු,ayeku
විනාශය,winashaya
පරිද්දෙන්,paridden
එන්නෙ,enne
අසුන්,asun
අසු,asu
අවසානයේදී,awasanayedee
සීතල,seethala
වීදුරු,weeduru
පිහිටුවීම,pihituweema
පාළි,pali
පාලකයන්,palakayan
දරුවෝ,daruwo
කංකා,kanka
අසලට,asalata
අතරතුර,atharathura
ස්ථානාධිපති,sthanadhipathi
නැමති,nemathi
ජපානය,japanaya
එළවළු,elawalu
ඇවිද,ewida
ඇත්තාහ,eththaha
සෙවිලි,sewili
සීයා,seeya
සමාජවාදී,samajawadee
ලියන්න,liyanna
මුළුමනින්,mulumanin
පැවසූ,pewasu
ගෙවීමට,geweemata
කරවීම,karaweema
අයෙක්,ayek
සැලකීම,selakeema
ලැබෙයි,lebeyi
මුලදී,muladee
පුද්ගලයාගේ,pudgalayage
පිළිවෙළ,piliwela
නිලධාරින්,niladharin
තැනකට,thenakata
ගෙවිය,gewiya
ගනිමු,ganimu
කෙරිණ,kerina
කරද්දී,karaddee
එහෙ,ehe
එතැනින්,ethenin
ඇද්ද,edda
හැරෙන්නට,herennata
හමාර,hamara
සවග,sawaga
විභාගය,wibhagaya
මතට,mathata
පුද්ගලයින්,pudgalayin
ඩෙංගු,dengu
උපදේශක,upadeshaka
අයිතියක්,ayithiyak
සිළුමිණ,silumina
විහාරස්ථානයේ,wiharasthanaye
මාලාවක්,malawak
එහාට,ehata
උදාර,udara
ආභාසය,abhasaya
අහිතකර,ahithakara
අනුන්ට,anunta
අටක්,atak
වේදනාවක්,wedanawak
විස්තරයක්,wistharayak
විනාශයට,winashayata
බහුතර,bahuthara
පොහොසත්,pohosath
පෙබරවාරි,pebarawari
දිවයින,diwayina
ගරිල්ලා,garilla
කියපු,kiyapu
ඌට,uta
අළු,alu
සුභ,subha
දැනගත්,denagath
කාසි,kasi
කටයුත්ත,katayuththa
ඒකෙන්,eken
ඉන්ද්‍රිය,indriya
ආයතනවල,ayathanawala
සිදුවූයේ,siduwuye
වීම්,weem
පෙති,pethi
පුණ්‍ය,punya
පාලනයට,palanayata
එතන,ethana
හරින,harina
සිව්,siw
වෙන්ව,wenwa
යුදෙව්වන්,yudewwan
මෙච්චර,mechchara
දෙදෙනකු,dedenaku
කසාද,kasada
කලාප,kalapa
සමහරක්,samaharak
වගකිව,wagakiwa
යෝජනාවක්,yojanawak
කමිටුව,kamituwa
හරියටම,hariyatama
වෙහෙර,wehera
මෙරටට,meratata
දෙයින්,deyin
දාන්න,danna
තියනවා,thiyanawa
ස්වාමි,swami
වේලා,wela
වරාය,waraya
රජයෙන්,rajayen
බහුලව,bahulawa
දිනට,dinata
ගොවියා,gowiya
හැසිරීම,hesireema
වූයෙන්,wuyen
වතාවක්,wathawak
යතුරු,yathuru
බලාපොරොත්තුවෙන්,balaporoththuwen
කෙළි,keli
කිරීමය,kireemaya
එයයි,eyayi
ඉදිකර,idikara
අඩ,ada
සැබවින්,sebawin
විනිසුරු,winisuru
දෙමාපියන්,demapiyan
දුකක්,dukak
තැබිය,thebiya
කාටත්,katath
ඒකීය,ekeeya
උදය,udaya
ඇතුළුව,ethuluwa
අස්,as
සඟවා,sangawa
විනෝද,winoda
ලද්දාවූ,laddawu
යාත්‍රා,yathra
ධර්මයන්,dharmayan
කුසල්,kusal
ක්‍රියාකාරිත්වය,kriyakarithwaya
කරුණාරත්න,karunarathna
උතුරේ,uthure
ඉඩම,idama
අවශ්‍යතාවය,awashyathawaya
අධිකාරිය,adhikariya
අඩක්,adak
හානියක්,haniyak
හමුවන,hamuwana
වැල්,wel
වන්න,wanna
පාරම්පරික,paramparika
නිකම්,nikam
දවස්වල,dawaswala
ජංගම,jangama
කැරුණු,kerunu
කැමැත්තෙන්,kemeththen
එකා,eka
මෙහාට,mehata
පාරිසරික,parisarika
දෙවිවරුන්,dewiwarun
දුටුගැමුණු,dutugemunu
කතාවට,kathawata
ආකල්පය,akalpaya
අස්වැන්න,aswenna
සැපයුම්,sepayum
වැඩසටහන,wedasatahana
මාලින්,malin
පැමිණීමට,pemineemata
පාසැල්,pasel
දිළිඳු,dilindu
ගැමියෝ,gemiyo
ගඟේ,gange
කෙටිකතා,ketikatha
කාරණයක්,karanayak
සැරසිලි,serasili
සාධකයක්,sadhakayak
ලැබෙනවා,lebenawa
රංජිත්,ranjith
යම්සේ,yamse
පිළි,pili
ප්‍රවාහනය,prawahanaya
නුවරඑළිය,nuwaraeliya
තත්ත්වයක,thaththwayaka
ගම්බද,gambada
උපක්‍රම,upakrama
ඇයව,eyawa
ඇත්තාවූ,eththawu
සාකච්ඡාව,sakachchawa
ශිල්පීන්,shilpeen
ලියාපදිංචි,liyapadinchi
බිරිය,biriya
බැල්ම,belma
පැණි,peni
දිසාව,disawa
තුබුණ,thubuna
චර්යා,charya
එයාව,eyawa
ඉන්දු,indu
හරය,haraya
සාමකාමී,samakamee
ශිෂ්‍යයන්,shishyayan
විහාරස්ථානය,wiharasthanaya
විනිවිද,winiwida
විනිමය,winimaya
මිතුරු,mithuru
පිළියෙළ,piliyela
පෑමට,pemata
නිවන,niwana
නිලධාරීන්ගේ,niladhareenge
නාටක,nataka
තර්ජන,tharjana
චූටි,chuti
ගෝත්‍රික,gothrika
ගැනයි,genayi
උවමනා,uwamana
අල්ප,alpa
සැපයුම,sepayuma
විකාශනය,wikashanaya
රටවලට,ratawalata
මැතිවරණයට,methiwaranayata
ප්‍රගුණ,praguna
දොළොස්,dolos
ගමනට,gamanata
ඇදගෙන,edagena
අසමත්,asamath
අනුපාතය,anupathaya
ව්‍යවස්ථාවක්,wyawasthawak
මෙසේද,meseda
තුළම,thulama
ජනශ්‍රැතිය,janashrethiya
ගියොත්,giyoth
ඇසුරෙන්,esuren
අන්දමේ,andame
සරසවි,sarasawi
සක්මන්,sakman
වැටීම,weteema
පාඨ,pata
ධනේශ්වර,dhaneshwara
දිනෙක,dineka
දරුවාට,daruwata
තත්වයට,thathwayata
ජනාධිපතිතුමා,janadhipathithuma
ගුරුවරයා,guruwaraya
කෑගල්ල,kegalla
ඒකයි,ekayi
අම්මේ,amme
අනුන්ගේ,anunge
සත්කාර,sathkara
විරහිත,wirahitha
වඩ,wada
පේරාදෙණිය,peradeniya
ප්‍රවේශ,prawesha
ප්‍රමුබ,pramuba
ප්‍රජාව,prajawa
නංගි,nangi
ගොනු,gonu
ගැනීම්,geneem
ගණනය,gananaya
කරවයි,karawayi
උපදින,upadina
ඈන්,en
හයියෙන්,hayiyen
සිනාසෙමින්,sinasemin
ස්වභාවයක්,swabhawayak
වදාළහ,wadalaha
පැවැසීය,peweseeya
පද්ධතියක්,paddhathiyak
ධාන්‍ය,dhanya
දශක,dashaka
තනතුර,thanathura
ගියත්,giyath
ඇසට,esata
අවධිය,awadhiya
අතුල,athula
සිල්,sil
වූවන්,wuwan
ලැබීමෙන්,lebeemen
රෝහණ,rohana
රටින්,ratin
උළු,ulu
ආශ්‍රයෙන්,ashrayen
ළමයින්ට,lamayinta
හේරත්,herath
සුදධ,sudadha
වහර,wahara
වගෙ,wage
මහත්මයා,mahathmaya
කෙළින්ම,kelinma
සුලු,sulu
සිංහ,sinha
විකෘති,wikthi
ලන්ඩන්,landan
රළු,ralu
රත්න,rathna
මොහොතක,mohothaka
පුත්,puth
ප්‍රශ්නවලට,prashnawalata
ප්‍රකාශයක්,prakashayak
ගෙ,ge
කමින්,kamin
එව,ewa
අගනුවර,aganuwara
හදවත්,hadawath
සුපිරි,supiri
ලොක්කා,lokka
බ්‍රහ්ම,brahma
නිර්දේශ,nirdesha
දෝ,do
ගිහිල්ලා,gihilla
ක්‍රියාකාරී,kriyakaree
කළෙමු,kalemu
අහල,ahala
සමුපකාර,samupakara
සන්ධීය,sandheeya
විද්‍යාවේ,widyawe
යොදන,yodana
බුදුරජ,buduraja
නිවැරදිව,niweradiwa
නවාතැන්,nawathen
තුනී,thunee
තර්ජනය,tharjanaya
අසලින්,asalin
අතක්,athak
හඳුනාගෙන,handunagena
ලෑස්ති,lesthi
ලැබූහ,lebuha
ලබාගැනීම,labageneema
මහේස්ත්‍රාත්,mahesthrath
භාගයේ,bhagaye
පාඨකයා,patakaya
නැඟුණු,nengunu
දෙදෙනාම,dedenama
කෙරේද,kereda
සුවපත්,suwapath
ලද්දකි,laddaki
බලවේග,balawega
ප්‍රභාකරන්,prabhakaran
පහරක්,paharak
කොටින්,kotin
කිසිසේත්,kisiseth
එමඟින්,emangin
අර්ථවත්,arthawath
සිටින්නට,sitinnata
සටනට,satanata
වර්ධනයක්,wardhanayak
වරයා,waraya
බුද්ධිමය,buddhimaya
පෙට්ටි,petti
පාරවල්,parawal
ප්‍රවණතාව,prawanathawa
සිටියත්,sitiyath
සිටිමින්,sitimin
සැරසී,serasee
සංග්‍රහය,sangrahaya
වුණොත්,wunoth
යද්දී,yaddee
මද,mada
පැවසේ,pewase
කිරිමේ,kirime
කැණිම්,kenim
කඩිනමින්,kadinamin
සමාධිය,samadhiya
වැඩී,wedee
වන්දනා,wandana
ලෙන්,len
රෝස,rosa
යුද්ධයට,yuddhayata
මවට,mawata
නිර්වාණය,nirwanaya
කරන්නේය,karanneya
අසවල්,asawal
හදන්න,hadanna
සිනාව,sinawa
වේදනාවෙන්,wedanawen
විකුණා,wikuna
රොයිටර්,royitar
බැලූවේ,beluwe
බලන්නේ,balanne
පොළොන්නරුව,polonnaruwa
පොර,pora
පෙන්වන,penwana
පුරාතන,purathana
පරණවිතාන,paranawithana
නිර්ධන,nirdhana
නැඟ,nenga
එෆ්,ef
ආනයනය,anayanaya
අවස්ථාවෙහි,awasthawehi
අභාවයට,abhawayata
සහය,sahaya
මහත්තය,mahaththaya
පාසලට,pasalata
තිබියදී,thibiyadee
අවනත,awanatha
සිතක්,sithak
පිරිසකට,pirisakata
ප්‍රධානතම,pradhanathama
පත්තු,paththu
දිනෙන්,dinen
දැමිය,demiya
ජීවිතේ,jeewithe
කොමිෂන්,komishan
කරන්නන්,karannan
කඳවුරු,kandawuru
ඒත්තු,eththu
අයි,ayi
හුඟාක්,hungak
සුවය,suwaya
සලකන්නේ,salakanne
වැරැදි,weredi
රුධිර,rudhira
පිළියම්,piliyam
පරිසරයට,parisarayata
පක්‍ෂය,pakshaya
ධනපාල,dhanapala
ගැළපෙන,gelapena
කුසලතා,kusalatha
කරුණාව,karunawa
එවන,ewana
ස්ථානයක,sthanayaka
සමාගමට,samagamata
සංශෝධනය,sanshodhanaya
වර්ෂය,warshaya
ලාභය,labhaya
රණසිංහ,ranasinha
මුළුල්ලේ,mululle
මසකට,masakata
භික්ෂුණී,bhikshunee
ප්‍රදේශයක්,pradeshayak
නිශ්චය,nishchaya
දොරට,dorata
ජයතිලක,jayathilaka
ගසක්,gasak
කොන්දේසි,kondesi
කුසල,kusala
කිව්වේ,kiwwe
කාරුණික,karunika
උපාලි,upali
ඉල්ලීම්,illeem
ඇණ,ena
හාමිනේ,hamine
සි,si
සඳහාත්,sandahath
ශරීරයේ,shareeraye
මැතිනිය,methiniya
පිටුපසින්,pitupasin
දේශපාලනයට,deshapalanayata
දේපල,depala
දෙදෙන,dedena
තාරකා,tharaka
ඝාතන,ghathana
ගැඹුරින්,gemburin
ගැටලුව,getaluwa
කයින්,kayin
උත්සාහයක්,uthsahayak
ආදර,adara
අහසේ,ahase
වැදගත්ය,wedagathya
භාෂාවක්,bhashawak
බහා,baha
පෙනෙයි,peneyi
නිමිති,nimithi
නැගෙන,negena
තුනෙන්,thunen
ගණනකට,gananakata
උන්වහන්සේට,unwahanseta
ඉවරයි,iwarayi
සොයාගෙන,soyagena
සේවකයින්,sewakayin
වැඩිම,wedima
පැමිණියහ,peminiyaha
පදවිය,padawiya
නීනා,neena
කොටා,kota
කියුබානු,kiyubanu
ඉහල,ihala
හොයා,hoya
හාල්,hal
සිකුරාදා,sikurada
ස්මාරක,smaraka
සහෝදර,sahodara
සත්ත්ව,saththwa
වාක්‍ය,wakya
රජවරුන්,rajawarun
මහාකාව්‍ය,mahakawya
මධ්‍යස්ථානයට,madhyasthanayata
බැල්මක්,belmak
පිළිවෙත්,piliweth
පැවැත්මට,pewethmata
නින්දා,ninda
ධම්ම,dhamma
ගමනේ,gamane
කුලය,kulaya
ආක්‍රමණය,akramanaya
විෂයෙහි,wishayehi
ව්‍යාකරණ,wyakarana
ප්‍රීති,preethi
නඟින,nangina
දෙන්ට,denta
ජයන්ත,jayantha
ගෙදරින්,gedarin
ගම්මාන,gammana
කොහෙද,koheda
කෙටියෙන්,ketiyen
අලියා,aliya
අපිව,apiwa
මුල්‍ය,mulya
පිණිසද,pinisada
පාවා,pawa
පරිසරයේ,parisaraye
නෝන,nona
කීපයකට,keepayakata
කරන්නාවූ,karannawu
කඩදාසි,kadadasi
ළඟින්,langin
සිටියෝ,sitiyo
සතුරන්,sathuran
ශෝකය,shokaya
විවිධාකාර,wiwidhakara
ලෙනින්,lenin
බැඳුණු,bendunu
බලපා,balapa
පැවතීම,pewatheema
පර,para
දුකින්,dukin
දැනගන්නට,denagannata
කුමරිය,kumariya
ඉන්ධන,indhana
ඉන්දියාවට,indiyawata
අවස්ථාවන්,awasthawan
අවශ්‍යතාවක්,awashyathawak
හිතවත්,hithawath
හැසිරීම්,hesireem
සීල,seela
සිනාසුණේ,sinasune
රුව,ruwa
යූ,yu
මුහුද,muhuda
මුත්,muth
පියල්,piyal
දරයි,darayi
තරුණිය,tharuniya
උද්ගත,udgatha
ආලෝක,aloka
සත,satha
වෙලාව,welawa
වාරිමාර්ග,warimarga
මුළුමනින්ම,mulumaninma
මුහුණට,muhunata
නින්දට,nindata
දුරක්,durak
තන්හි,thanhi
ජූනි,juni
කියවේ,kiyawe
කණ්ඩායමට,kandayamata
එවැන්නක්,ewennak
ස්වාමියා,swamiya
රුචි,ruchi
මාන,mana
බහ,baha
පුටු,putu
ප්‍රධානියා,pradhaniya
පදනමක්,padanamak
චරිතයක්,charithayak
කොහෙත්ම,kohethma
කෙනෙකුගේ,kenekuge
අබලන්,abalan
හඳ,handa
සිතීමට,sitheemata
වැඩපිළිවෙළක්,wedapiliwelak
යාපනය,yapanaya
මාලා,mala
පිරිත්,pirith
පැත්තකින්,peththakin
නිමි,nimi
දෙවියෝ,dewiyo
ජීවිතයෙහි,jeewithayehi
ගියාය,giyaya
ගැනද,genada
කිට්ටු,kittu
අම්පාර,ampara
අපූර්ව,apurwa
සියල්ලෝ,siyallo
සිදුකරන,sidukarana
සංස්කෘතියෙහි,sanskthiyehi
වස,wasa
ලෙසය,lesaya
මියගොස්,miyagos
දැනගන්න,denaganna
කියැවේ,kiyewe
කෑලි,keli
අන්තිමට,anthimata
වාග්,wag
වංචා,wancha
ලෝකෙ,loke
බදාදා,badada
නුසුදුසු,nusudusu
ආරූඪ,aruda
සාධකය,sadhakaya
සමාජයෙන්,samajayen
විසඳා,wisanda
වද,wada
පටහැණි,pataheni
ආර්ථිකයේ,arthikaye
අනුරට,anurata
අනාගතයේ,anagathaye
සංස්කෘතියේ,sanskthiye
මාසය,masaya
ඵලය,palaya
ප්‍රජාතන්ත්‍රවාදය,prajathanthrawadaya
පස්වරු,paswaru
නොලැබේ,nolebe
නායකයින්,nayakayin
කොස්,kos
කාමරයෙන්,kamarayen
ඒකකය,ekakaya
අභියෝග,abhiyoga
සියල්ලට,siyallata
වුනත්,wunath
බැඳගෙන,bendagena
පුරය,puraya
පුදුමයට,pudumayata
පිළිබඳවත්,pilibandawath
පිහිටුවීමට,pihituweemata
පිඬු,pindu
දේශපාලනික,deshapalanika
තියාගෙන,thiyagena
ගෙයින්,geyin
ක්ෂේත්‍රය,kshethraya
උත්තරීතර,uththareethara
ආශාවෙන්,ashawen
ආදායමක්,adayamak
ආච්චි,achchi
අනුරූප,anurupa
අත්හදා,athhada
සෞන්දර්ය,saundarya
සැලැස්ම,selesma
සංවිධායක,sanwidhayaka
රෝහල,rohala
මාලාව,malawa
පොළේ,pole
පො,po
පැවැත්,peweth
චීනය,cheenaya
ගොසිනි,gosini
ඒකාන්තයෙන්,ekanthayen
ඉඳන්,indan
ආරක්‍ෂක,arakshaka
හික්මිය,hikmiya
සෙලෙනා,selena
සමිතිය,samithiya
විෂ,wisha
වසන්ත,wasantha
යෙදිය,yediya
යුධ,yudha
මහජනයා,mahajanaya
බොළඳ,bolanda
පෙදෙස,pedesa
පිළිවෙලින්,piliwelin
ප්‍රතිපත්තියක්,prathipaththiyak
පහසුව,pahasuwa
පලස්තීන,palastheena
කටුක,katuka
ආරියරත්න,ariyarathna
අපේක්ෂක,apekshaka
හර,hara
සෙවීම,seweema
සැපයීමට,sepayeemata
වෛද්‍යවරයා,waidyawaraya
මසුන්,masun
බාධක,badhaka
පිරිමින්,pirimin
දේශන,deshana
ච,cha
කටහඬ,katahanda
ඇඩ්මන්ඩ්,edmand
හෙයිඩි,heyidi
හිතාගෙන,hithagena
සැප්තැම්බර්,septhembar
සමාජයීය,samajayeeya
ශාලා,shala
වේලාවට,welawata
මිදුලේ,midule
මැඩ,meda
බොන්න,bonna
පුරාවස්තු,purawasthu
ප්‍රථමයෙන්,prathamayen
දෙදෙනාගේ,dedenage
දුර්ලභ,durlabha
තරයේ,tharaye
කාර්යභාරය,karyabharaya
අමු,amu
හෙළිදරව්,helidaraw
ව්‍යාපෘතියේ,wyapthiye
වගකීමක්,wagakeemak
මෙහෙයවන,meheyawana
පැවසූහ,pewasuha
නිවෙස්,niwes
තරගය,tharagaya
කිහිපයකට,kihipayakata
ස්වරූපයෙන්,swarupayen
සමූහයක්,samuhayak
සංඝයාට,sanghayata
වයස්,wayas
ලුණු,lunu
මිනිස්සුන්ට,minissunta
පාද,pada
දොරටු,doratu
දුඹුරු,dumburu
ජ,ja
ගොවිතැන,gowithena
ග්‍රහණය,grahanaya
අම්මාට,ammata
අධ්‍යයනයේ,adhyayanaye
හිර,hira
හිඟ,hinga
සේවනය,sewanaya
සුවිශේෂී,suwisheshee
විෂ්ණු,wishnu
වර්ගයක්,wargayak
වතාවට,wathawata
යන්තම්,yantham
යටිතල,yatithala
මුදු,mudu
මායිම්,mayim
මන්ත්‍රීවරයා,manthreewaraya
මදි,madi
තුනකින්,thunakin
ආවේය,aweya
අමාරුයි,amaruyi
අනිකුත්,anikuth
ශික්ෂාව,shikshawa
වේලාවකින්,welawakin
වේගවත්,wegawath
විදුහල්පති,widuhalpathi
ලෙසද,lesada
මොලී,molee
පුතාට,puthata
ප්‍රීතියෙන්,preethiyen
පළාත,palatha
තනිව,thaniwa
තණ්හාව,thanhawa
ගෙනා,gena
ගුණතිලක,gunathilaka
ගාමිණි,gamini
කලාපීය,kalapeeya
උනන්දුව,unanduwa
ඇසෙන,esena
ඇසීය,eseeya
හැකිවිය,hekiwiya
සුළ,sula
සිංහලයට,sinhalayata
සාවද්‍ය,sawadya
සසර,sasara
සම්බන්ධතාව,sambandhathawa
ශාසන,shasana
වරටත්,waratath
ලාමක,lamaka
මහායාන,mahayana
මක්නිසා,maknisa
බැණ,bena
ප්‍රකෘති,prakthi
දුෂ්ට,dushta
තඹ,thamba
ණයට,nayata
ඉඳහිට,indahita
අඳින,andina
හෙයකින්,heyakin
සුහද,suhada
සඳහාය,sandahaya
ව්‍යවස්ථාවේ,wyawasthawe
මිදී,midee
නොවනු,nowanu
දිවුරුම්,diwurum
දැකීමෙන්,dekeemen
තෝ,tho
තල,thala
කිරීමෙනි,kireemeni
කලාවට,kalawata
ඇල්ම,elma
ඇදහිලි,edahili
අවුරුද්ද,awurudda
අර්බුදය,arbudaya
හිසට,hisata
හින්ද,hinda
හැරීමට,hereemata
හමුවීමට,hamuweemata
සැවතෙහි,sewathehi
සාකච්ඡාවක්,sakachchawak
සංවර්ධනයට,sanwardhanayata
වත්තේ,waththe
ලබමින්,labamin
භාවයට,bhawayata
බෝග,boga
බවින්,bawin
ප්‍රතිවිරුද්ධ,prathiwiruddha
දුටුවා,dutuwa
තත්ත්වයෙන්,thaththwayen
ගාලු,galu
ඔවුනොවුන්,owunowun
උත්සවයක්,uthsawayak
ඇ,e
ආධිපත්‍යය,adhipathyaya
අම්මාගේ,ammage
අංශයට,anshayata
වැස්ස,wessa
වැඩපිළිවෙළ,wedapiliwela
රෑට,reta
යාමෙන්,yamen
මොවුන්ගේ,mowunge
මොකුත්,mokuth
බැලූවා,beluwa
නොලැබෙන,nolebena
නැත්තෙ,neththe
නාමයෙන්,namayen
දඬු,dandu
ජීවිතයෙන්,jeewithayen
ගෙනත්,genath
ගැනේ,gene
එළාර,elara
උගන්වන,uganwana
ඇන,ena
ආයෙමත්,ayemath
අගෝස්තු,agosthu
වැළඳ,welanda
මරණයෙන්,maranayen
බසින,basina
නිලධාරීහු,niladhareehu
ධර්මයේ,dharmaye
දෙනාගේ,denage
තොල්,thol
ගිණුම,ginuma
ගැහැනු,gehenu
ගැනීමේදී,geneemedee
ගව,gawa
ඇර,era
හිතෙනවා,hithenawa
සමුහ,samuha
සමාදන්,samadan
වැට,weta
ලදුව,laduwa
යන්නත්,yannath
යථෝක්ත,yathoktha
මුසු,musu
මාර්ගයට,margayata
මහානායක,mahanayaka
පෙනිණ,penina
ප්‍රවේශය,praweshaya
ප්‍රතිලාභ,prathilabha
පර්වත,parwatha
පක්ෂයක්,pakshayak
නුඹේ,numbe
තේරීම්,thereem
තරමක,tharamaka
චිත්‍රා,chithra
ඝන,ghana
සාර්ථකව,sarthakawa
වචනවලින්,wachanawalin
යුතුකම්,yuthukam
මු,mu
නිසාද,nisada
නව්‍යවාදී,nawyawadee
දඩයම්,dadayam
ගෞතම,gauthama
ග්‍රන්ථයක්,granthayak
කරවීමට,karaweemata
කඳවුර,kandawura
ඒකත්,ekath
අනන්‍යතාව,ananyathawa
සොයන,soyana
සීගිරිය,seegiriya
සිප,sipa
සැලකිලිමත්,selakilimath
සවස්,sawas
විසිරී,wisiree
වාර,wara
පොතෙහි,pothehi
පෙළෙන,pelena
පලස්තීනයේ,palastheenaye
ගෝත්‍ර,gothra
ගුණයෙන්,gunayen
කොට්ඨාස,kottasa
කොටගත්,kotagath
කිව්වොත්,kiwwoth
අම්මට,ammata
අභය,abhaya
ස්වරූප,swarupa
පොත්වල,pothwala
පැහැදිළි,pehedili
ප්‍රභවය,prabhawaya
පරිපූර්ණ,paripurna
නංවා,nanwa
නංගී,nangee
ධර්මසිරි,dharmasiri
දේපළ,depala
දනී,danee
තේරී,theree
කිසිවකුට,kisiwakuta
ඇමෙරිකානු,emerikanu
අනිත්‍යයි,anithyayi
වේගය,wegaya
විරාම,wirama
රැකියාවක්,rekiyawak
මුවින්,muwin
මුලු,mulu
ප්‍රහාරය,praharaya
නඩුව,naduwa
දෙකෙහි,dekehi
තොපට,thopata
එකිනෙකාට,ekinekata
උපයෝගි,upayogi
උපකාරී,upakaree
හො,ho
සුළඟ,sulanga
සහනයක්,sahanayak
වාඩිවී,wadiwee
යුක්ති,yukthi
පොලී,polee
පුත්තලම,puththalama
පවුල්වල,pawulwala
තර්ජනයක්,tharjanayak
ගෙල,gela
ගියාට,giyata
ගැටලුවක්,getaluwak
ග්‍රන්ථයේ,granthaye
ගතානුගතික,gathanugathika
ඔළුව,oluwa
ඇතිකර,ethikara
අමාරුවෙන්,amaruwen
අනු,anu
හමුවී,hamuwee
සෙනසුරාදා,senasurada
සිවු,siwu
සිරිපාල,siripala
ශක්ති,shakthi
විශේෂයක්,wisheshayak
යොවුන්,yowun
භාරතීයයන්,bharatheeyayan
පීඩනය,peedanaya
පාඨය,pataya
නෙමේ,neme
දුරකතන,durakathana
ගණනින්,gananin
කුමාරගම,kumaragama
කියුබාව,kiyubawa
කල්පනාව,kalpanawa
ආසියාවේ,asiyawe
අපොහොසත්,apohosath
